"","Id","Day","Date","Exercise","Load","RepTarget","RepActual","Note"
"1",1,"Sunday","2022-05-15","Squat",140,5,5,""
"2",2,"Sunday","2022-05-15","Squat",140,5,5,""
"3",3,"Sunday","2022-05-15","Squat",140,5,5,""
"4",4,"Sunday","2022-05-15","Squat",140,5,5,""
"5",5,"Sunday","2022-05-15","Squat",140,5,5,""
"6",6,"Sunday","2022-05-15","Deadlift",100,5,5,""
"7",7,"Sunday","2022-05-15","Deadlift",100,5,5,""
"8",8,"Sunday","2022-05-15","Deadlift",100,5,5,""
"9",9,"Sunday","2022-05-15","Deadlift",100,5,5,""
"10",10,"Sunday","2022-05-15","Deadlift",100,5,5,""
"11",11,"Sunday","2022-05-15","Bench",95,5,5,""
"12",12,"Sunday","2022-05-15","Bench",95,5,5,""
"13",13,"Sunday","2022-05-15","Bench",95,5,5,""
"14",14,"Sunday","2022-05-15","Bench",95,5,5,""
"15",15,"Sunday","2022-05-15","Bench",95,5,5,""
"16",16,"Sunday","2022-05-15","Press",65,5,5,""
"17",17,"Sunday","2022-05-15","Press",65,5,5,""
"18",18,"Sunday","2022-05-15","Press",65,5,5,""
"19",19,"Sunday","2022-05-15","Press",65,5,5,""
"20",20,"Sunday","2022-05-15","Press",65,5,5,""
"21",21,"Tuesday","2022-05-17","Squat",145,5,5,""
"22",22,"Tuesday","2022-05-17","Squat",145,5,5,""
"23",23,"Tuesday","2022-05-17","Squat",145,5,5,""
"24",24,"Tuesday","2022-05-17","Squat",145,5,5,""
"25",25,"Tuesday","2022-05-17","Squat",145,5,5,""
"26",26,"Tuesday","2022-05-17","Bench",100,5,5,""
"27",27,"Tuesday","2022-05-17","Bench",100,5,5,""
"28",28,"Tuesday","2022-05-17","Bench",100,5,5,""
"29",29,"Tuesday","2022-05-17","Bench",100,5,5,""
"30",30,"Tuesday","2022-05-17","Bench",100,5,5,""
"31",31,"Thursday","2022-05-19","Squat",150,5,5,""
"32",32,"Thursday","2022-05-19","Squat",150,5,5,""
"33",33,"Thursday","2022-05-19","Squat",150,5,5,""
"34",34,"Thursday","2022-05-19","Squat",150,5,5,""
"35",35,"Thursday","2022-05-19","Squat",150,5,5,""
"36",36,"Thursday","2022-05-19","Deadlift",120,5,5,""
"37",37,"Thursday","2022-05-19","Deadlift",120,5,5,""
"38",38,"Thursday","2022-05-19","Deadlift",120,5,5,""
"39",39,"Thursday","2022-05-19","Deadlift",120,5,5,""
"40",40,"Thursday","2022-05-19","Deadlift",120,5,5,""
"41",41,"Sunday","2022-05-22","Squat",155,5,5,""
"42",42,"Sunday","2022-05-22","Squat",155,5,5,""
"43",43,"Sunday","2022-05-22","Squat",155,5,5,""
"44",44,"Sunday","2022-05-22","Squat",155,5,5,""
"45",45,"Sunday","2022-05-22","Squat",155,5,5,""
"46",46,"Tuesday","2022-05-24","Squat",160,5,5,""
"47",47,"Tuesday","2022-05-24","Squat",160,5,5,""
"48",48,"Tuesday","2022-05-24","Squat",160,5,5,""
"49",49,"Tuesday","2022-05-24","Squat",160,5,5,""
"50",50,"Tuesday","2022-05-24","Squat",160,5,5,""
"51",51,"Tuesday","2022-05-24","Deadlift",125,5,5,""
"52",52,"Tuesday","2022-05-24","Deadlift",125,5,5,""
"53",53,"Tuesday","2022-05-24","Deadlift",125,5,5,""
"54",54,"Tuesday","2022-05-24","Deadlift",125,5,5,""
"55",55,"Tuesday","2022-05-24","Deadlift",125,5,5,""
"56",56,"Thursday","2022-05-26","Bench",120,5,5,""
"57",57,"Thursday","2022-05-26","Bench",120,5,5,""
"58",58,"Thursday","2022-05-26","Bench",120,5,5,""
"59",59,"Thursday","2022-05-26","Bench",120,5,5,""
"60",60,"Thursday","2022-05-26","Bench",120,5,5,""
"61",61,"Sunday","2022-05-29","Squat",170,5,5,""
"62",62,"Sunday","2022-05-29","Squat",170,5,5,""
"63",63,"Sunday","2022-05-29","Squat",170,5,5,""
"64",64,"Sunday","2022-05-29","Squat",170,5,5,""
"65",65,"Sunday","2022-05-29","Squat",170,5,5,""
"66",66,"Sunday","2022-05-29","Deadlift",130,5,5,""
"67",67,"Sunday","2022-05-29","Deadlift",130,5,5,""
"68",68,"Sunday","2022-05-29","Deadlift",130,5,5,""
"69",69,"Sunday","2022-05-29","Deadlift",130,5,5,""
"70",70,"Sunday","2022-05-29","Deadlift",130,5,5,""
"71",71,"Tuesday","2022-05-31","Squat",185,5,5,""
"72",72,"Tuesday","2022-05-31","Squat",185,5,5,""
"73",73,"Tuesday","2022-05-31","Squat",185,5,5,""
"74",74,"Tuesday","2022-05-31","Squat",185,5,5,""
"75",75,"Tuesday","2022-05-31","Squat",185,5,5,""
"76",76,"Tuesday","2022-05-31","Bench",125,5,5,""
"77",77,"Tuesday","2022-05-31","Bench",125,5,5,""
"78",78,"Tuesday","2022-05-31","Bench",125,5,5,""
"79",79,"Tuesday","2022-05-31","Bench",125,5,5,""
"80",80,"Tuesday","2022-05-31","Bench",125,5,5,""
"81",81,"Saturday","2022-06-04","Squat",190,5,5,""
"82",82,"Saturday","2022-06-04","Squat",190,5,5,""
"83",83,"Saturday","2022-06-04","Squat",190,5,5,""
"84",84,"Saturday","2022-06-04","Squat",190,5,5,""
"85",85,"Saturday","2022-06-04","Squat",190,5,5,""
"86",86,"Monday","2022-06-13","Squat",195,5,5,""
"87",87,"Monday","2022-06-13","Squat",195,5,5,""
"88",88,"Monday","2022-06-13","Squat",195,5,5,""
"89",89,"Monday","2022-06-13","Squat",195,5,5,""
"90",90,"Monday","2022-06-13","Squat",195,5,5,""
"91",91,"Monday","2022-06-13","Bench",130,5,5,""
"92",92,"Monday","2022-06-13","Bench",130,5,5,""
"93",93,"Monday","2022-06-13","Bench",130,5,5,""
"94",94,"Monday","2022-06-13","Bench",130,5,5,""
"95",95,"Monday","2022-06-13","Bench",130,5,5,""
"96",96,"Wednesday","2022-06-15","Squat",200,5,5,""
"97",97,"Wednesday","2022-06-15","Squat",200,5,5,""
"98",98,"Wednesday","2022-06-15","Squat",200,5,5,""
"99",99,"Wednesday","2022-06-15","Squat",200,5,5,""
"100",100,"Wednesday","2022-06-15","Squat",200,5,5,""
"101",101,"Wednesday","2022-06-15","Press",75,5,5,""
"102",102,"Wednesday","2022-06-15","Press",75,5,5,""
"103",103,"Wednesday","2022-06-15","Press",75,5,5,""
"104",104,"Wednesday","2022-06-15","Press",75,5,5,""
"105",105,"Wednesday","2022-06-15","Press",75,5,5,""
"106",106,"Friday","2022-06-17","Squat",205,5,5,""
"107",107,"Friday","2022-06-17","Squat",205,5,5,""
"108",108,"Friday","2022-06-17","Squat",205,5,5,""
"109",109,"Friday","2022-06-17","Squat",205,5,5,""
"110",110,"Friday","2022-06-17","Squat",205,5,5,""
"111",111,"Friday","2022-06-17","Bench",135,5,5,""
"112",112,"Friday","2022-06-17","Bench",135,5,5,""
"113",113,"Friday","2022-06-17","Bench",135,5,5,""
"114",114,"Friday","2022-06-17","Bench",135,5,5,""
"115",115,"Friday","2022-06-17","Bench",135,5,5,""
"116",116,"Monday","2022-06-20","Squat",210,5,5,""
"117",117,"Monday","2022-06-20","Squat",210,5,5,""
"118",118,"Monday","2022-06-20","Squat",210,5,5,""
"119",119,"Monday","2022-06-20","Squat",210,5,5,""
"120",120,"Monday","2022-06-20","Squat",210,5,5,""
"121",121,"Monday","2022-06-20","Press",80,5,5,""
"122",122,"Monday","2022-06-20","Press",80,5,5,""
"123",123,"Monday","2022-06-20","Press",80,5,5,""
