"Id","Day","Date","Exercise","Load","RepTarget","RepActual","Note"
1,"Sunday","2022-05-15","Squat",140,5,5,""
2,"Sunday","2022-05-15","Squat",140,5,5,""
3,"Sunday","2022-05-15","Squat",140,5,5,""
4,"Sunday","2022-05-15","Squat",140,5,5,""
5,"Sunday","2022-05-15","Squat",140,5,5,""
6,"Sunday","2022-05-15","Deadlift",100,5,5,""
7,"Sunday","2022-05-15","Deadlift",100,5,5,""
8,"Sunday","2022-05-15","Deadlift",100,5,5,""
9,"Sunday","2022-05-15","Deadlift",100,5,5,""
10,"Sunday","2022-05-15","Deadlift",100,5,5,""
11,"Sunday","2022-05-15","Bench",95,5,5,""
12,"Sunday","2022-05-15","Bench",95,5,5,""
13,"Sunday","2022-05-15","Bench",95,5,5,""
14,"Sunday","2022-05-15","Bench",95,5,5,""
15,"Sunday","2022-05-15","Bench",95,5,5,""
16,"Sunday","2022-05-15","Press",65,5,5,""
17,"Sunday","2022-05-15","Press",65,5,5,""
18,"Sunday","2022-05-15","Press",65,5,5,""
19,"Sunday","2022-05-15","Press",65,5,5,""
20,"Sunday","2022-05-15","Press",65,5,5,""
21,"Tuesday","2022-05-17","Squat",145,5,5,""
22,"Tuesday","2022-05-17","Squat",145,5,5,""
23,"Tuesday","2022-05-17","Squat",145,5,5,""
24,"Tuesday","2022-05-17","Squat",145,5,5,""
25,"Tuesday","2022-05-17","Squat",145,5,5,""
26,"Tuesday","2022-05-17","Bench",100,5,5,""
27,"Tuesday","2022-05-17","Bench",100,5,5,""
28,"Tuesday","2022-05-17","Bench",100,5,5,""
29,"Tuesday","2022-05-17","Bench",100,5,5,""
30,"Tuesday","2022-05-17","Bench",100,5,5,""
31,"Thursday","2022-05-19","Squat",150,5,5,""
32,"Thursday","2022-05-19","Squat",150,5,5,""
33,"Thursday","2022-05-19","Squat",150,5,5,""
34,"Thursday","2022-05-19","Squat",150,5,5,""
35,"Thursday","2022-05-19","Squat",150,5,5,""
36,"Thursday","2022-05-19","Deadlift",120,5,5,""
37,"Thursday","2022-05-19","Deadlift",120,5,5,""
38,"Thursday","2022-05-19","Deadlift",120,5,5,""
39,"Thursday","2022-05-19","Deadlift",120,5,5,""
40,"Thursday","2022-05-19","Deadlift",120,5,5,""
41,"Sunday","2022-05-22","Squat",155,5,5,""
42,"Sunday","2022-05-22","Squat",155,5,5,""
43,"Sunday","2022-05-22","Squat",155,5,5,""
44,"Sunday","2022-05-22","Squat",155,5,5,""
45,"Sunday","2022-05-22","Squat",155,5,5,""
46,"Tuesday","2022-05-24","Squat",160,5,5,""
47,"Tuesday","2022-05-24","Squat",160,5,5,""
48,"Tuesday","2022-05-24","Squat",160,5,5,""
49,"Tuesday","2022-05-24","Squat",160,5,5,""
50,"Tuesday","2022-05-24","Squat",160,5,5,""
51,"Tuesday","2022-05-24","Deadlift",125,5,5,""
52,"Tuesday","2022-05-24","Deadlift",125,5,5,""
53,"Tuesday","2022-05-24","Deadlift",125,5,5,""
54,"Tuesday","2022-05-24","Deadlift",125,5,5,""
55,"Tuesday","2022-05-24","Deadlift",125,5,5,""
56,"Thursday","2022-05-26","Bench",120,5,5,""
57,"Thursday","2022-05-26","Bench",120,5,5,""
58,"Thursday","2022-05-26","Bench",120,5,5,""
59,"Thursday","2022-05-26","Bench",120,5,5,""
60,"Thursday","2022-05-26","Bench",120,5,5,""
61,"Sunday","2022-05-29","Squat",170,5,5,""
62,"Sunday","2022-05-29","Squat",170,5,5,""
63,"Sunday","2022-05-29","Squat",170,5,5,""
64,"Sunday","2022-05-29","Squat",170,5,5,""
65,"Sunday","2022-05-29","Squat",170,5,5,""
66,"Sunday","2022-05-29","Deadlift",130,5,5,""
67,"Sunday","2022-05-29","Deadlift",130,5,5,""
68,"Sunday","2022-05-29","Deadlift",130,5,5,""
69,"Sunday","2022-05-29","Deadlift",130,5,5,""
70,"Sunday","2022-05-29","Deadlift",130,5,5,""
71,"Tuesday","2022-05-31","Squat",185,5,5,""
72,"Tuesday","2022-05-31","Squat",185,5,5,""
73,"Tuesday","2022-05-31","Squat",185,5,5,""
74,"Tuesday","2022-05-31","Squat",185,5,5,""
75,"Tuesday","2022-05-31","Squat",185,5,5,""
76,"Tuesday","2022-05-31","Bench",125,5,5,""
77,"Tuesday","2022-05-31","Bench",125,5,5,""
78,"Tuesday","2022-05-31","Bench",125,5,5,""
79,"Tuesday","2022-05-31","Bench",125,5,5,""
80,"Tuesday","2022-05-31","Bench",125,5,5,""
81,"Saturday","2022-06-04","Squat",190,5,5,""
82,"Saturday","2022-06-04","Squat",190,5,5,""
83,"Saturday","2022-06-04","Squat",190,5,5,""
84,"Saturday","2022-06-04","Squat",190,5,5,""
85,"Saturday","2022-06-04","Squat",190,5,5,""
86,"Monday","2022-06-13","Squat",195,5,5,""
87,"Monday","2022-06-13","Squat",195,5,5,""
88,"Monday","2022-06-13","Squat",195,5,5,""
89,"Monday","2022-06-13","Squat",195,5,5,""
90,"Monday","2022-06-13","Squat",195,5,5,""
91,"Monday","2022-06-13","Bench",130,5,5,""
92,"Monday","2022-06-13","Bench",130,5,5,""
93,"Monday","2022-06-13","Bench",130,5,5,""
94,"Monday","2022-06-13","Bench",130,5,5,""
95,"Monday","2022-06-13","Bench",130,5,5,""
96,"Wednesday","2022-06-15","Squat",200,5,5,""
97,"Wednesday","2022-06-15","Squat",200,5,5,""
98,"Wednesday","2022-06-15","Squat",200,5,5,""
99,"Wednesday","2022-06-15","Squat",200,5,5,""
100,"Wednesday","2022-06-15","Squat",200,5,5,""
101,"Wednesday","2022-06-15","Press",75,5,5,""
102,"Wednesday","2022-06-15","Press",75,5,5,""
103,"Wednesday","2022-06-15","Press",75,5,5,""
104,"Wednesday","2022-06-15","Press",75,5,5,""
105,"Wednesday","2022-06-15","Press",75,5,5,""
106,"Friday","2022-06-17","Squat",205,5,5,""
107,"Friday","2022-06-17","Squat",205,5,5,""
108,"Friday","2022-06-17","Squat",205,5,5,""
109,"Friday","2022-06-17","Squat",205,5,5,""
110,"Friday","2022-06-17","Squat",205,5,5,""
111,"Friday","2022-06-17","Bench",135,5,5,""
112,"Friday","2022-06-17","Bench",135,5,5,""
113,"Friday","2022-06-17","Bench",135,5,5,""
114,"Friday","2022-06-17","Bench",135,5,5,""
115,"Friday","2022-06-17","Bench",135,5,5,""
116,"Monday","2022-06-20","Squat",210,5,5,""
117,"Monday","2022-06-20","Squat",210,5,5,""
118,"Monday","2022-06-20","Squat",210,5,5,""
119,"Monday","2022-06-20","Squat",210,5,5,""
120,"Monday","2022-06-20","Squat",210,5,5,""
121,"Monday","2022-06-20","Press",80,5,5,""
